FIT Profiler Report

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                         	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                          	|  -              	|  50592          	|  1305.2         	|  100 %          	|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                             	|  1283.4         	|  1              	|  1283.4         	|  98.33          	|
|  [_EvaluationLoop].val_next                                                                                                                                     	|  0.81434        	|  1002           	|  815.97         	|  62.518         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                     	|  0.40874        	|  1000           	|  408.74         	|  31.317         	|
|  run_training_batch                                                                                                                                             	|  0.015864       	|  1000           	|  15.864         	|  1.2154         	|
|  [LightningModule]FewShotLearner.optimizer_step                                                                                                                 	|  0.015783       	|  1000           	|  15.783         	|  1.2092         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                 	|  0.013211       	|  1002           	|  13.237         	|  1.0142         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                   	|  0.0094877      	|  1000           	|  9.4877         	|  0.72693        	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                        	|  0.0048228      	|  1000           	|  4.8228         	|  0.36951        	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                 	|  0.0019011      	|  2002           	|  3.8059         	|  0.2916         	|
|  [LightningModule]FewShotLearner.transfer_batch_to_device                                                                                                       	|  0.0018426      	|  2002           	|  3.6889         	|  0.28263        	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                              	|  0.003509       	|  1002           	|  3.516          	|  0.26939        	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                   	|  0.0023813      	|  1000           	|  2.3813         	|  0.18245        	|
